0,mean,9.208702e-07,0.000005,0.0,0.000000,0.000030,0.000000e+00,9.508171e-07,9.065931e-07,0.000000,0.128403,0.0,0.000003,0.000000,0.006035,0.007807,0.031169,0.000000,0.0,0.091313,0.043744,0.000001,0.000429,0.000263,0.000039,0.018228,0.097121,0.027696,0.0,0.000000e+00,0.155352,0.044669,0.000000,0.019528,0.083357,0.000000,0.000000,0.000000,0.000042,9.208702e-07,0.000002,0.405799,0.0,0.0,0.0,0.145110,0.000023,0.071852,0.000039,0.145106,0.109635,0.000083,0.040086,0.010129,0.003503,0.000000,0.000000,0.098762,0.075257,0.002379,0.018504,0.096283,0.131995,0.028722,0.012158,0.262632,0.000332,0.0,0.000000,0.014489,0.162199,0.076010,0.0,0.592870,0.000002,0.000000,0.000000e+00,0.0,0.000000,0.005312,0.000001,9.065931e-07,0.014496,0.000000,0.000000,0.000065,0.000002,0.000000,0.010874,0.047535,0.006370,0.000000,0.162022,0.000000e+00,0.002677,0.000004,0.006533,0.053167,0.000003,0.000797,0.010422,0.000284,0.010390,0.000000,0.001872,0.711153,0.000000,0.573571,0.000951,0.010975,0.0,0.001416,0.051126,0.000000,0.063196,0.000097,0.019565,0.000000,0.023918,0.000869,0.628728,0.0,0.0,0.000000,0.000000,0.0,9.065931e-07,0.000000,0.000746,0.008704,0.000002,0.000000,0.000910,0.000004,0.002212,0.0,0.0,0.085808,0.000041,0.000298,0.000000,0.017782,1.799239e-06,0.761145,0.000000,0.007087,0.000000,0.0,0.012720,0.000005,0.028719,0.003625,0.281965,0.022892,0.000000e+00,0.036805,0.0,0.341383,0.005084,0.000645,1.799239e-06,0.002421,0.004508,0.0,0.000273,0.414437,9.065931e-07,0.000000,0.000000,0.225466,0.000000,0.179778,0.000000,0.000022,0.000000,0.005086,0.000000,0.008948,9.065931e-07,0.017114,0.000000,0.058297,0.000028,0.0
"",std,5.824095e-06,0.000034,0.0,0.000000,0.000140,0.000000e+00,6.013496e-06,5.733798e-06,0.000000,0.111027,0.0,0.000018,0.000000,0.010933,0.010493,0.037239,0.000000,0.0,0.088953,0.051566,0.000007,0.001073,0.000725,0.000247,0.024422,0.090462,0.034352,0.0,0.000000e+00,0.095042,0.050003,0.000000,0.036586,0.090828,0.000000,0.000000,0.000000,0.000200,5.824095e-06,0.000011,0.146178,0.0,0.0,0.0,0.105144,0.000148,0.073918,0.000247,0.105333,0.099350,0.000342,0.057512,0.021475,0.004255,0.000000,0.000000,0.097718,0.075333,0.003327,0.025693,0.085925,0.116279,0.036072,0.014201,0.140071,0.001028,0.0,0.000000,0.023971,0.098697,0.080445,0.0,0.048103,0.000011,0.000000,0.000000e+00,0.0,0.000000,0.005620,0.000008,5.733798e-06,0.022886,0.000000,0.000000,0.000284,0.000013,0.000000,0.016365,0.044149,0.009833,0.000000,0.110692,0.000000e+00,0.004236,0.000023,0.009035,0.062178,0.000019,0.001745,0.017694,0.000558,0.012693,0.000000,0.003302,0.019130,0.000000,0.062301,0.001661,0.017086,0.0,0.002446,0.057124,0.000000,0.080145,0.000439,0.021966,0.000000,0.030078,0.002083,0.031651,0.0,0.0,0.000000,0.000000,0.0,5.733798e-06,0.000000,0.001677,0.011265,0.000011,0.000000,0.001892,0.000022,0.002686,0.0,0.0,0.083296,0.000247,0.000688,0.000000,0.023962,1.137938e-05,0.004405,0.000000,0.008594,0.000000,0.0,0.012196,0.000034,0.039549,0.007042,0.165361,0.026035,0.000000e+00,0.028963,0.0,0.118060,0.008790,0.001234,1.137938e-05,0.003938,0.009149,0.0,0.000755,0.147601,5.733798e-06,0.000000,0.000000,0.144583,0.000000,0.151041,0.000000,0.000110,0.000000,0.007471,0.000000,0.014031,5.733798e-06,0.023531,0.000000,0.055745,0.000151,0.0
"",max,3.683481e-05,0.000217,0.0,0.000000,0.000780,0.000000e+00,3.803269e-05,3.626373e-05,0.000000,0.359696,0.0,0.000116,0.000000,0.038467,0.035787,0.125253,0.000000,0.0,0.269813,0.171945,0.000045,0.003898,0.002729,0.001559,0.084483,0.283783,0.100577,0.0,0.000000e+00,0.325590,0.150952,0.000000,0.139891,0.257672,0.000000,0.000000,0.000000,0.001170,3.683481e-05,0.000072,0.619339,0.0,0.0,0.0,0.339585,0.000936,0.239501,0.001559,0.341074,0.302002,0.001838,0.200119,0.086811,0.017932,0.000000,0.000000,0.324719,0.223230,0.012475,0.089981,0.267800,0.381056,0.121703,0.045087,0.482988,0.005458,0.0,0.000000,0.083951,0.333158,0.269282,0.0,0.669400,0.000072,0.000000,0.000000e+00,0.0,0.000000,0.019017,0.000053,3.626373e-05,0.081373,0.000000,0.000000,0.001559,0.000081,0.000000,0.055822,0.138111,0.034473,0.000000,0.375828,0.000000e+00,0.016919,0.000146,0.029385,0.193481,0.000119,0.007483,0.063933,0.002374,0.034333,0.000000,0.013254,0.750860,0.000000,0.663311,0.005541,0.061154,0.0,0.009170,0.185525,0.000000,0.238262,0.002339,0.064902,0.000000,0.098126,0.010058,0.681885,0.0,0.0,0.000000,0.000000,0.0,3.626373e-05,0.000000,0.007112,0.037487,0.000072,0.000000,0.007407,0.000142,0.010915,0.0,0.0,0.264757,0.001559,0.002534,0.000000,0.081682,7.196955e-05,0.773611,0.000000,0.028154,0.000000,0.0,0.037090,0.000216,0.142362,0.025878,0.553523,0.088795,0.000000e+00,0.111348,0.0,0.528138,0.036351,0.005068,7.196955e-05,0.014819,0.036250,0.0,0.003898,0.613100,3.626373e-05,0.000000,0.000000,0.507635,0.000000,0.461652,0.000000,0.000668,0.000000,0.029713,0.000000,0.048984,3.626373e-05,0.079242,0.000000,0.182210,0.000936,0.0
1,mean,0.000000e+00,0.000038,0.0,0.000002,0.000041,0.000000e+00,0.000000e+00,2.762951e-06,0.000000,0.168982,0.0,0.000004,0.000000,0.006939,0.001799,0.032528,0.000003,0.0,0.112423,0.052401,0.000000,0.002846,0.002599,0.000000,0.063197,0.140197,0.050946,0.0,0.000000e+00,0.177233,0.097924,0.000003,0.009451,0.166675,0.000078,0.000029,0.000008,0.000727,4.505070e-06,0.000003,0.450256,0.0,0.0,0.0,0.193187,0.008250,0.070520,0.000697,0.205581,0.137353,0.000238,0.036228,0.004110,0.003588,0.000005,0.000009,0.086271,0.107533,0.005762,0.018221,0.143621,0.125811,0.029248,0.024679,0.294503,0.001125,0.0,0.000004,0.011425,0.188899,0.068982,0.0,0.604653,0.000386,0.000004,1.834772e-06,0.0,0.000000,0.006606,0.000003,0.000000e+00,0.012554,0.000323,0.000086,0.000745,0.000000,0.000000,0.011926,0.055014,0.006710,0.000000,0.175693,0.000000e+00,0.004814,0.000000,0.006909,0.062912,0.000741,0.006357,0.032444,0.000527,0.019640,0.000000,0.006163,0.715640,0.000000,0.584603,0.000922,0.013223,0.0,0.004769,0.076307,0.000001,0.087928,0.000199,0.028807,0.000000,0.030454,0.004198,0.634853,0.0,0.0,0.000002,0.000003,0.0,0.000000e+00,0.000001,0.000963,0.018037,0.000000,0.000039,0.008938,0.000000,0.004516,0.0,0.0,0.112502,0.000003,0.000505,0.000058,0.010437,0.000000e+00,0.758185,0.000005,0.007507,0.000000,0.0,0.029480,0.000021,0.072449,0.005313,0.326314,0.043062,9.136759e-07,0.060763,0.0,0.363888,0.003583,0.001739,2.782016e-06,0.017646,0.001973,0.0,0.005583,0.466676,0.000000e+00,0.000004,0.000004,0.239625,0.000002,0.183568,0.000000,0.000051,0.000004,0.009098,0.000004,0.008542,7.184934e-06,0.028568,0.000000,0.065021,0.002474,0.0
"",std,0.000000e+00,0.000192,0.0,0.000012,0.000124,0.000000e+00,0.000000e+00,1.747443e-05,0.000000,0.098793,0.0,0.000027,0.000000,0.007877,0.002657,0.026104,0.000017,0.0,0.075861,0.044001,0.000000,0.003664,0.004955,0.000000,0.046321,0.087644,0.054645,0.0,0.000000e+00,0.070343,0.056734,0.000017,0.012617,0.111091,0.000344,0.000185,0.000050,0.001306,2.849257e-05,0.000017,0.103557,0.0,0.0,0.0,0.094268,0.011890,0.048447,0.001407,0.091124,0.078602,0.000655,0.030950,0.006503,0.004036,0.000033,0.000059,0.056509,0.070674,0.004288,0.017135,0.094246,0.075209,0.026251,0.020052,0.110168,0.002116,0.0,0.000028,0.014520,0.078998,0.053170,0.0,0.030398,0.001212,0.000024,1.160412e-05,0.0,0.000000,0.004606,0.000019,0.000000e+00,0.012929,0.001009,0.000346,0.001181,0.000000,0.000000,0.012321,0.045274,0.008306,0.000000,0.081588,0.000000e+00,0.005892,0.000000,0.007980,0.048505,0.001631,0.007999,0.038275,0.000919,0.017074,0.000000,0.007514,0.012503,0.000000,0.042474,0.001229,0.013935,0.0,0.006057,0.054692,0.000009,0.078276,0.000756,0.025936,0.000000,0.030670,0.005907,0.019317,0.0,0.0,0.000011,0.000019,0.0,0.000000e+00,0.000007,0.001746,0.020360,0.000000,0.000247,0.011453,0.000000,0.004398,0.0,0.0,0.080928,0.000017,0.001105,0.000370,0.010727,0.000000e+00,0.001560,0.000028,0.006630,0.000000,0.0,0.024723,0.000131,0.069589,0.007558,0.124544,0.031058,5.778594e-06,0.039424,0.0,0.086482,0.004913,0.002328,1.759502e-05,0.017913,0.002852,0.0,0.007612,0.103442,0.000000e+00,0.000026,0.000023,0.102830,0.000015,0.100100,0.000000,0.000251,0.000023,0.009212,0.000024,0.010135,4.544151e-05,0.029798,0.000000,0.043597,0.004357,0.0
"",max,0.000000e+00,0.001170,0.0,0.000075,0.000426,0.000000e+00,0.000000e+00,1.105180e-04,0.000000,0.315699,0.0,0.000173,0.000000,0.023568,0.008187,0.082473,0.000110,0.0,0.226371,0.132322,0.000000,0.012085,0.024560,0.000000,0.142524,0.268932,0.157594,0.0,0.000000e+00,0.275121,0.169861,0.000108,0.044029,0.307390,0.001559,0.001170,0.000319,0.003898,1.802028e-04,0.000107,0.559386,0.0,0.0,0.0,0.323903,0.036800,0.147816,0.005848,0.316888,0.246954,0.002495,0.095718,0.022206,0.015126,0.000212,0.000375,0.174847,0.208904,0.014034,0.050028,0.289246,0.235894,0.075577,0.059556,0.417609,0.008576,0.0,0.000179,0.044159,0.294513,0.164232,0.0,0.637847,0.005848,0.000153,7.339087e-05,0.0,0.000000,0.014421,0.000119,0.000000e+00,0.038710,0.004210,0.001559,0.004678,0.000000,0.000000,0.041029,0.138673,0.025120,0.000000,0.282731,0.000000e+00,0.019380,0.000000,0.024643,0.147174,0.006471,0.029171,0.111103,0.004593,0.059808,0.000000,0.031343,0.730853,0.000000,0.631454,0.004249,0.044832,0.0,0.020497,0.160171,0.000054,0.224470,0.003898,0.082263,0.000000,0.097293,0.018400,0.656841,0.0,0.0,0.000073,0.000122,0.0,0.000000e+00,0.000043,0.006642,0.066408,0.000000,0.001559,0.033994,0.000000,0.017153,0.0,0.0,0.239475,0.000109,0.003900,0.002339,0.032412,0.000000e+00,0.761493,0.000180,0.023440,0.000000,0.0,0.074783,0.000830,0.216435,0.024805,0.467695,0.099481,3.654704e-05,0.140240,0.0,0.457477,0.015048,0.007797,1.112806e-04,0.054388,0.009738,0.0,0.027678,0.568586,0.000000e+00,0.000161,0.000144,0.380202,0.000095,0.328744,0.000000,0.001500,0.000143,0.033577,0.000152,0.032993,2.873974e-04,0.092447,0.000000,0.151003,0.016373,0.0
2,mean,2.009900e-06,0.000010,0.0,0.000006,0.000023,9.065931e-07,0.000000e+00,0.000000e+00,0.000000,0.091205,0.0,0.000015,0.000000,0.000022,0.000034,0.008438,0.000000,0.0,0.051742,0.011321,0.000008,0.000156,0.000000,0.000000,0.021991,0.065210,0.005029,0.0,0.000000e+00,0.124559,0.044624,0.000000,0.000125,0.076430,0.000000,0.000006,0.000000,0.000010,0.000000e+00,0.000000,0.388563,0.0,0.0,0.0,0.112123,0.000000,0.030255,0.000013,0.141394,0.066104,0.000016,0.009002,0.000029,0.000902,0.000010,0.000000,0.043099,0.047417,0.001831,0.004569,0.061158,0.068695,0.007173,0.008798,0.226759,0.000029,0.0,0.000000,0.000586,0.130330,0.027996,0.0,0.591949,0.000005,0.000001,1.827463e-06,0.0,0.000004,0.001647,0.000000,0.000000e+00,0.000881,0.000006,0.000000,0.000019,0.000000,0.000006,0.001578,0.012332,0.000338,0.000002,0.116789,1.299450e-06,0.000109,0.000000,0.000396,0.020529,0.000011,0.000074,0.001353,0.000043,0.002619,0.000000,0.000338,0.710045,0.000004,0.562011,0.000033,0.001374,0.0,0.000149,0.024189,0.000000,0.009165,0.000005,0.007142,0.000000,0.004492,0.000513,0.630081,0.0,0.0,0.000000,0.000000,0.0,0.000000e+00,0.000000,0.000022,0.001570,0.000000,0.000010,0.000120,0.000002,0.000975,0.0,0.0,0.035906,0.000016,0.000000,0.000004,0.001995,9.065931e-07,0.760325,0.000009,0.001397,0.000003,0.0,0.008188,0.000017,0.006882,0.000065,0.248801,0.011223,0.000000e+00,0.026254,0.0,0.316786,0.000000,0.000000,1.480386e-06,0.001948,0.000049,0.0,0.000039,0.404522,4.726239e-06,0.000000,0.000000,0.175405,0.000002,0.124454,0.000004,0.000010,0.000000,0.001079,0.000004,0.000431,0.000000e+00,0.001144,0.000002,0.032718,0.000000,0.0
"",std,1.271172e-05,0.000064,0.0,0.000038,0.000143,5.733798e-06,0.000000e+00,0.000000e+00,0.000000,0.062847,0.0,0.000097,0.000000,0.000137,0.000187,0.007424,0.000000,0.0,0.045073,0.011604,0.000050,0.000498,0.000000,0.000000,0.023325,0.050524,0.006135,0.0,0.000000e+00,0.053786,0.043232,0.000000,0.000470,0.071193,0.000000,0.000040,0.000000,0.000060,0.000000e+00,0.000000,0.091790,0.0,0.0,0.0,0.058421,0.000000,0.025170,0.000080,0.079861,0.054140,0.000103,0.009167,0.000185,0.001557,0.000061,0.000000,0.032643,0.039732,0.002226,0.004238,0.045840,0.049009,0.007375,0.008571,0.092451,0.000185,0.0,0.000000,0.000983,0.057641,0.024671,0.0,0.028164,0.000029,0.000008,1.155789e-05,0.0,0.000023,0.001930,0.000000,0.000000e+00,0.001266,0.000040,0.000000,0.000123,0.000000,0.000039,0.001755,0.008965,0.000651,0.000012,0.064536,8.218445e-06,0.000417,0.000000,0.000793,0.019058,0.000072,0.000230,0.002473,0.000215,0.003398,0.000000,0.001022,0.010734,0.000024,0.043045,0.000146,0.001691,0.0,0.000366,0.024712,0.000000,0.010744,0.000029,0.007337,0.000000,0.005656,0.001079,0.019848,0.0,0.0,0.000000,0.000000,0.0,0.000000e+00,0.000000,0.000141,0.001901,0.000000,0.000062,0.000443,0.000015,0.001707,0.0,0.0,0.027073,0.000101,0.000000,0.000024,0.002338,5.733798e-06,0.001792,0.000060,0.001775,0.000018,0.0,0.008406,0.000106,0.008195,0.000345,0.111941,0.011596,0.000000e+00,0.017681,0.0,0.079734,0.000000,0.000000,9.362785e-06,0.002645,0.000219,0.0,0.000247,0.098703,2.989136e-05,0.000000,0.000000,0.083595,0.000013,0.075525,0.000023,0.000061,0.000000,0.001230,0.000024,0.000597,0.000000e+00,0.002066,0.000011,0.020087,0.000000,0.0
"",max,8.039600e-05,0.000402,0.0,0.000243,0.000901,3.626373e-05,0.000000e+00,0.000000e+00,0.000000,0.184825,0.0,0.000612,0.000000,0.000864,0.001170,0.023640,0.000000,0.0,0.123799,0.034593,0.000319,0.002339,0.000000,0.000000,0.062062,0.149460,0.021996,0.0,0.000000e+00,0.197900,0.113303,0.000000,0.002339,0.173086,0.000000,0.000254,0.000000,0.000381,0.000000e+00,0.000000,0.486658,0.0,0.0,0.0,0.190828,0.000000,0.075131,0.000504,0.241715,0.151674,0.000649,0.027878,0.001170,0.006237,0.000385,0.000000,0.103585,0.107262,0.007797,0.013080,0.132901,0.149716,0.023399,0.025696,0.337455,0.001170,0.0,0.000000,0.003859,0.208017,0.077807,0.0,0.623526,0.000181,0.000051,7.309853e-05,0.0,0.000144,0.005346,0.000000,0.000000e+00,0.004109,0.000252,0.000000,0.000780,0.000000,0.000246,0.005092,0.030418,0.002942,0.000077,0.206137,5.197801e-05,0.002339,0.000000,0.003327,0.054309,0.000457,0.000936,0.009356,0.001302,0.009668,0.000000,0.004567,0.724864,0.000152,0.606546,0.000668,0.005371,0.0,0.001621,0.064169,0.000000,0.037581,0.000186,0.023101,0.000000,0.014546,0.004834,0.651396,0.0,0.0,0.000000,0.000000,0.0,0.000000e+00,0.000000,0.000892,0.006194,0.000000,0.000390,0.002339,0.000095,0.006237,0.0,0.0,0.082753,0.000640,0.000000,0.000152,0.007290,3.626373e-05,0.763796,0.000378,0.007054,0.000112,0.0,0.025111,0.000668,0.023014,0.002144,0.382104,0.030656,0.000000e+00,0.052628,0.0,0.409337,0.000000,0.000000,5.921545e-05,0.008927,0.001170,0.0,0.001559,0.511772,1.890496e-04,0.000000,0.000000,0.305933,0.000079,0.248787,0.000146,0.000385,0.000000,0.003885,0.000150,0.002017,0.000000e+00,0.007407,0.000070,0.066379,0.000000,0.0
3,mean,0.000000e+00,0.000000,0.0,0.000000,0.000020,0.000000e+00,0.000000e+00,0.000000e+00,0.000001,0.140395,0.0,0.000002,0.000004,0.008374,0.009341,0.035110,0.000000,0.0,0.104423,0.053979,0.000000,0.000556,0.001345,0.000000,0.030644,0.109839,0.023265,0.0,9.065931e-07,0.166467,0.047617,0.000002,0.022554,0.099836,0.000003,0.000000,0.000000,0.000029,0.000000e+00,0.000000,0.421332,0.0,0.0,0.0,0.161618,0.000661,0.079418,0.000257,0.162470,0.118006,0.000138,0.044606,0.013879,0.003195,0.000002,0.000000,0.112811,0.082033,0.002653,0.024656,0.107573,0.143965,0.035300,0.013938,0.276290,0.000234,0.0,0.000002,0.021680,0.174582,0.086187,0.0,0.597175,0.000039,0.000000,9.136759e-07,0.0,0.000000,0.004723,0.000090,9.911060e-07,0.017115,0.000312,0.000000,0.000117,0.000000,0.000000,0.013304,0.054164,0.009217,0.000000,0.175921,9.356042e-07,0.003757,0.000000,0.008149,0.064124,0.000129,0.002322,0.014724,0.000703,0.015168,0.000012,0.003445,0.712135,0.000000,0.578653,0.001477,0.013899,0.0,0.002154,0.055516,0.000000,0.063380,0.000097,0.023277,0.000003,0.023706,0.000917,0.631601,0.0,0.0,0.000006,0.000000,0.0,0.000000e+00,0.000000,0.001116,0.013555,0.000000,0.000000,0.001123,0.000000,0.002836,0.0,0.0,0.089702,0.000074,0.000300,0.000000,0.021314,0.000000e+00,0.761187,0.000010,0.007609,0.000000,0.0,0.014550,0.000004,0.032573,0.004658,0.302059,0.025725,1.827352e-06,0.044269,0.0,0.351974,0.005025,0.001154,9.065931e-07,0.004507,0.005818,0.0,0.001694,0.429635,0.000000e+00,0.000000,0.000000,0.240926,0.000000,0.197148,0.000000,0.000026,0.000000,0.007492,0.000006,0.010708,0.000000e+00,0.023333,0.000000,0.068682,0.000181,0.0
3,std,0.0,0.0,0.0,0.0,0.000123,0.0,0.0,0.0,0.000006,0.116073,0.0,0.000015,0.000026,0.015004,0.011730,0.038089,0.0,0.0,0.092330,0.063168,0.0,0.001102,0.002591,0.0,0.037290,0.103026,0.029406,0.0,0.000006,0.100448,0.050726,0.000013,0.038777,0.102624,0.000020,0.0,0.0,0.000185,0.0,0.0,0.141174,0.0,0.0,0.0,0.116590,0.001412,0.078002,0.000667,0.108335,0.103078,0.000340,0.061347,0.026211,0.003539,0.000011,0.0,0.109032,0.078745,0.003012,0.031755,0.090754,0.122011,0.039938,0.015908,0.142125,0.000832,0.0,0.000013,0.035334,0.100539,0.087180,0.0,0.046827,0.000247,0.0,0.000006,0.0,0.0,0.004838,0.000409,0.000006,0.026361,0.000866,0.0,0.000416,0.0,0.0,0.020586,0.049306,0.014491,0.0,0.113410,0.000006,0.006001,0.0,0.011296,0.070268,0.000624,0.003871,0.022612,0.001256,0.019881,0.000074,0.005591,0.019990,0.0,0.061923,0.002473,0.019541,0.0,0.003897,0.061082,0.0,0.080258,0.000439,0.028458,0.000021,0.028652,0.001944,0.031678,0.0,0.0,0.000041,0.0,0.0,0.0,0.0,0.002658,0.017617,0.0,0.0,0.002197,0.0,0.002610,0.0,0.0,0.082898,0.000305,0.000656,0.0,0.026213,0.0,0.005253,0.000064,0.010305,0.0,0.0,0.013778,0.000028,0.043427,0.008657,0.162542,0.027460,0.000012,0.032824,0.0,0.119538,0.009085,0.002298,0.000006,0.006563,0.011452,0.0,0.002804,0.143321,0.0,0.0,0.0,0.151484,0.0,0.153638,0.0,0.000105,0.0,0.011016,0.000037,0.016387,0.0,0.030981,0.0,0.062574,0.000537,0.0
"",max,0.0,0.0,0.0,0.0,0.000780,0.0,0.0,0.0,0.000040,0.367492,0.0,0.000092,0.000161,0.055454,0.039841,0.122342,0.0,0.0,0.282458,0.205280,0.0,0.005068,0.008966,0.0,0.115313,0.325166,0.101998,0.0,0.000036,0.350507,0.151573,0.000083,0.135884,0.297014,0.000124,0.0,0.0,0.001170,0.0,0.0,0.619450,0.0,0.0,0.0,0.379149,0.004678,0.250199,0.002339,0.354156,0.319644,0.001364,0.201032,0.088246,0.017153,0.000072,0.0,0.363743,0.241368,0.009122,0.111785,0.296135,0.402896,0.128436,0.055693,0.499037,0.004678,0.0,0.000084,0.121065,0.351746,0.288794,0.0,0.680701,0.001559,0.0,0.000037,0.0,0.0,0.018040,0.002339,0.000040,0.091864,0.003509,0.0,0.001559,0.0,0.0,0.074491,0.165060,0.051135,0.0,0.394759,0.000037,0.019804,0.0,0.036649,0.223898,0.003898,0.014671,0.069547,0.005515,0.062713,0.000468,0.022610,0.750084,0.0,0.670992,0.010069,0.066797,0.0,0.013459,0.197342,0.0,0.238659,0.002339,0.104541,0.000131,0.087958,0.008576,0.684614,0.0,0.0,0.000260,0.0,0.0,0.0,0.0,0.014427,0.060531,0.0,0.0,0.008187,0.0,0.007797,0.0,0.0,0.266740,0.001559,0.002358,0.0,0.087908,0.0,0.776427,0.000407,0.036218,0.0,0.0,0.039061,0.000177,0.138525,0.032707,0.563966,0.086759,0.000073,0.122252,0.0,0.541891,0.032874,0.009512,0.000036,0.021615,0.045069,0.0,0.009122,0.619287,0.0,0.0,0.0,0.534084,0.0,0.481593,0.0,0.000585,0.0,0.039934,0.000231,0.059410,0.0,0.098962,0.0,0.218363,0.002228,0.0
